stop_id,stop_name,stop_lat,stop_lon
000003479,"Krössuln (Krauschwitz)",51.123401,11.992253
000003480,"Borau (Weißenfels), Einkaufszentrum",51.199217,11.998856
000003481,"Hohenmölsen, Kirschberg-Center",51.162637,12.094149
000003482,"Köpsen (Webau), Sportplatz",51.165715,12.065396
000003483,"Rössuln (Webau)",51.168091,12.060491
000003484,"Webau, Werk",51.175541,12.055492
000003485,"Granschütz, Tauchaer Str.",51.184338,12.056732
000003486,"Taucha (Lkr. Weißenfels)",51.191937,12.077583
000003487,"Wählitz (Webau), Eiche",51.165811,12.089414
000003489,"Hohenmölsen, Ortseingang",51.163623,12.101737
000003493,"Runthal (Gröben)",51.127443,12.039068
000003494,"Gröben",51.121778,12.040810
000003495,"Oberwerschen",51.128312,12.062616
000003496,"Werschen, Sportplatz",51.131883,12.059452
000003497,"Werschen, Ort",51.135499,12.059391
000003498,"Keutschen (Zembschen)",51.141689,12.081155
000003499,"Zembschen",51.142003,12.092754
000003500,"Reichardtswerben, Konsum",51.247862,11.949976
000003501,"Posendorf (Reichardtswerben)",51.250356,11.959420
000003502,"Lunstädt (Roßbach)",51.261155,11.908497
000003503,"Roßbach, Sportplatz",51.260551,11.901322
000003505,"Nessa, Ort",51.149294,12.018532
000003506,"Wernsdorf (Nessa), Ort",51.152832,12.032602
000003507,"Obernessa",51.145195,12.003470
000003509,"Teuchern, Bahnhof (Bus)",51.132354,12.020613
000003511,"Goseck, Kochs Garten",51.197274,11.870296
000003512,"Pettstädt, Ort (Storkau)",51.236944,11.881560
000003513,"Pettstädt, Luftschiff (Storkau)",51.233469,11.885396
000003514,"Obschütz, Ort (Storkau)",51.229640,11.910016
000003515,"Storkau (b. Weißenfels), Ort",51.228270,11.924221
000003517,"Weißenfels, Roßbacher Str.",51.217735,11.956638
000003518,"Tagewerben, Feuerwehr",51.238370,11.952333
000003519,"Tagewerben, Mühle",51.242556,11.950711
000003520,"Gröbitz (Teuchern)",51.134064,11.925505
000003521,"Prittitz, Ort",51.150090,11.929665
000003522,"Weißenfels, Am Herrenberg",51.213128,11.958547
000003523,"Markwerben, Hauptstr.",51.215483,11.942536
000003524,"Markwerben, Ortsausgang",51.211808,11.936017
000003525,"Uichteritz, Wartehalle",51.207277,11.923806
000003526,"Uichteritz, Siedlung",51.200199,11.917747
000003527,"Uichteritz, Schule",51.208178,11.916878
000003528,"Markröhlitz, Ortseingang (Goseck)",51.211741,11.869908
000003529,"Markröhlitz, Ort (Goseck)",51.206811,11.868198
000003530,"Bad Dürrenberg, Post",51.295367,12.063778
000003533,"Kriechau (Schkortleben)",51.235752,12.011646
000003534,"Bad Dürrenberg, Siedlung",51.285356,12.066667
000003536,"Plotha, Ort (Prittitz)",51.153566,11.916875
000003537,"Plotha, Schule (Prittitz)",51.151843,11.917109
000003538,"Prittitz, Abzweig Bahnhof",51.154567,11.930063
000003539,"Kirchfährendorf (Bad Dürrenberg), Teich",51.294738,12.056896
000003540,"Großkorbetha, Gniebendorfer Str,",51.251506,12.029669
000003541,"Großkorbetha, Teich",51.259218,12.030835
000003542,"Großkorbetha, Merseburger Str.",51.261671,12.028446
000003543,"Großkorbetha, Am Bahnhof",51.267968,12.027284
000003544,"Wengelsdorf, Weißenfelser Str.",51.271705,12.025680
000003545,"Wengelsdorf, Spergauer Weg",51.277581,12.025164
000003547,"Wengelsdorf, Kirche",51.281762,12.040062
000003548,"Kraßlau (Wengelsdorf)",51.272968,12.050088
000003549,"Kreischau (Muschwitz)",51.200490,12.104373
000003550,"Göthewitz, Kreuzung (Muschwitz)",51.192230,12.111000
000003551,"Wuschlaub (Muschwitz)",51.180987,12.130356
000003552,"Hohenmölsen, Salzstr.",51.161464,12.108542
000003553,"Hohenmölsen, Ernst-Thälmann-Str.",51.152854,12.109392
000003554,"Großgöhren (Rippach)",51.224567,12.072444
000003555,"Burgwerben, Frönerhaus",51.225039,11.987993
000003556,"Schkortleben",51.243524,12.019875
000003558,"Rippach, Ort",51.224829,12.063483
000003559,"Dippelsdorf",51.152497,12.024345
000003560,"Lützen, Pflegeheim",51.263431,12.148715
000003562,"Weißenfels, Tschirnhügel",51.219562,12.004174
000003563,"Pörsten, Ort (Rippach)",51.223291,12.052499
000003564,"Rippach, Brücke",51.227718,12.074702
000003565,"Meuchen, Ortseingang (Lützen)",51.251497,12.172414
000003566,"Reußen (Kistritz)",51.112152,11.969357
000003639,"Leipzig, Bästlein-/Schwantesstr.",51.356536,12.430804
000003651,"Weißenfels, Heimatnaturgarten",51.195129,11.967023
000003659,"Löbschütz (Naumburg)",51.107727,11.734858
000003660,"Schleberoda, Siedlung",51.235015,11.802627
000003661,"Delitzsch, Friedrich-Engels-Str.",51.527582,12.355527
000003692,"Wermsdorf, Hubertusburg",51.276416,12.944034
000003695,"Altenburg (Thür.), Medicum",50.972341,12.438728
000003706,"Sietzsch, Porta Logistik",51.491635,12.190082
000003719,"Plennschütz",51.154692,11.919305
